Year,Singapore_GDP
1961,764629788.123689
1962,826239211.817511
1963,917608012.491752
1964,894153311.424857
1965,974644096.144674
1966,1096425608.09089
1967,1238035815.78586
1968,1425706091.0356
1969,1659893767.84419
1970,1920574150.17542
1971,2263785443.61688
1972,2721440980.75851
1973,3696213333.33333
1974,5221534955.64418
1975,5633673929.99302
1976,6327077974.10703
1977,6618585073.66035
1978,7517176354.84135
1979,9296921723.83465
1980,11896256782.8566
1981,14175228843.6391
1982,16084252378.473
1983,17784112149.5327
1984,19749361097.965
1985,19156532745.7691
1986,18586746056.9974
1987,20919215578.2125
1988,25371462488.1292
1989,30465364738.6206
1990,36144336768.7023
1991,45466164978.2923
1992,52131320032.8797
1993,60603815716.2653
1994,73688724431.1412
1995,87812540788.4293
1996,96293086513.0872
1997,100123787215.299
1998,85728207781.7785
1999,86286849754.8905
2000,96076539925.7409
2001,89793790669.6515
2002,92538372869.6942
2003,97646401095.6369
2004,115033593101.049
2005,127807848728.398
2006,148627286361.351
2007,180941701357.97
2008,193617323539.203
2009,194150283771.566
2010,239807980591.24
2011,279356499090.458
2012,295092888076.589
2013,307576360584.992
2014,314863580758.455
2015,307998545269.398
2016,319053943915.005
2017,343257164581.712
2018,376892697588.005
2019,376901649222.451
2020,349488382610.662
2021,434111559282.849
2022,498474540987.78
2023,501427500080.059
Unnamed: 68,
