Country,Trade Volume
China,1710127.2000000002
Malaysia,1408350.4
United States,1185709.5
Taiwan,911606.1
Hong Kong,842984.7
Indonesia,779845.3
Japan,627872.4
South Korea,614290.6
Thailand,410221.9
India,309963.3
Australia,304671.2
Viet Nam,284385.1
United Arab Emirates,262143.9
Germany,261478.3
Philippines,229535.7
France,228318.3
Netherlands,191874.9
Switzerland,186687.7
United Kingdom,177642.6
Africa,172446.2
Saudi Arabia,160729.19999999998
Belgium,101120.7
Panama,95729.4
Qatar,95433.6
Italy,84211.6
Cambodia,76243.09999999999
Brazil,76195.0
Russia,75468.7
Mexico,68008.6
Liberia,59095.1
Marshall Islands,53876.2
Bangladesh,53438.9
New Zealand,50715.3
Myanmar,45906.7
Canada,43884.2
Kuwait,39640.700000000004
Iraq,31742.0
Brunei,27970.6
Malta,27917.5
Ireland,27609.800000000003
Spain,26666.9
Norway,25805.2
Sri Lanka,24653.3
South Africa,23689.9
Israel,23367.8
Sweden,22455.2
Turkiye,21402.2
Greece,20151.7
Venezuela,20055.8
Pakistan,19915.5
Puerto Rico,18418.2
Austria,17883.9
Czech Rep,15960.4
Papua New Guinea,13958.5
Poland,13442.5
Bahamas,13291.8
Denmark,13259.8
Oman,12296.5
Hungary,11954.300000000001
Portugal,11787.1
Finland,9164.1
Nigeria,8255.5
Egypt,8068.4
Angola,7822.3
Cyprus,7790.5
Bahrain,7224.3
Colombia,7195.1
Algeria,6804.4
Reunion,5954.2
Fiji,5918.8
Morocco,5883.9
Guam,5484.1
New Caledonia,5070.7
Costa Rica,5023.8
Bulgaria,4630.3
Argentina,4506.5
Luxembourg,4114.8
Maldives,3895.3
Libya,3873.2000000000003
Romania,3643.2
Macao,3501.5
Iran,3474.6
Chile,3374.4
Lithuania,3085.4
Kazakhstan,3065.6
Mozambique,3033.0
Ghana,3018.8
Ukraine,2335.1
Antigua And Barbuda,2328.4
Nepal,2261.2
Kenya,2236.8
Netherlands Antilles,2000.2
Trinidad And Tobago,1869.1
Bermuda,1866.7
Jordan,1844.8
Slovakia,1843.2
Estonia,1835.6
Gabon,1754.7
Peru,1709.6
Slovenia,1698.1
Mongolia,1689.6
Ethiopia,1672.4
French Polynesia,1631.3
Tanzania,1629.6
Ecuador,1600.1
Latvia,1582.9
Tunisia,1444.0
Mauritius,1373.6
Lao,1341.7
Madagascar,1276.7
Cameroon,1225.2
Dominican Rep,1191.4
Zambia,1109.6000000000001
Yemen,1063.1000000000001
Solomon Islands,1051.1
Croatia,983.6
Cote D'ivoire,920.5
Uruguay,877.0
Samoa,865.2
Sudan,822.2
Belarus,765.9
Vanuatu,678.0
Seychelles,608.8000000000001
Guatemala,600.0
Lebanon,566.4
Northern Mariana Islands,560.6
St. Vincent And The Grenadines,552.9
Djibouti,523.7
"Congo, Dem Rep Of",521.6
Guyana,458.69999999999993
Guinea,347.1
Zimbabwe,344.90000000000003
Cuba,296.3
El Salvador,295.6
Afghanistan,233.1
"Korea, Dem Peo Rep Of",215.5
Jamaica,182.8
Benin,162.0
Sierra Leone,154.0
Honduras,153.8
Paraguay,152.8
Comoros,105.1
Syria,105.1
Swaziland,70.60000000000001
Somalia,34.9
Cape Verde,34.9
Christmas Island,21.3
United States Virgin Islands,3.9000000000000004
Antarctica,1.4
Svalbard And Jan Mayen Islands,0.2
