CountryPair,agree,IdealPointDistance,year,IdealPointAll.x,IdealPointAll.y
"('China', 'Japan')",0.6998075365281511,1.5464071462264153,1971.0,0.21536881179245285,0.21536881179245285
"('China', 'Malaysia')",0.9106963884365137,0.3630919526415094,1971.0,-0.5748730699056603,-0.5748730699056603
"('China', 'Saudi Arabia')",0.9044454095209253,0.3670099033018868,1971.0,-0.5655757685377358,-0.5655757685377358
"('China', 'Singapore')",0.8901790271764048,0.4654761420981132,1971.0,-0.3701504421811321,-0.3701504421811321
"('China', 'Thailand')",0.8910683436163072,0.43727260226415093,1971.0,-0.41059840037735845,-0.41059840037735845
"('Japan', 'Malaysia')",0.7506722018317261,1.391642424090909,1957.0,0.28913714553030306,0.28913714553030306
"('Japan', 'Saudi Arabia')",0.7032113551632942,1.569943413358209,1956.0,0.19440720973880599,0.19440720973880599
"('Japan', 'Singapore')",0.7546977940668528,1.1882099791728813,1965.0,0.40926298668474576,0.40926298668474576
"('Japan', 'Thailand')",0.7831964193340999,1.0754083043283582,1956.0,0.45729317022388055,0.45729317022388055
"('Malaysia', 'Saudi Arabia')",0.9171303250846748,0.3537587768939394,1957.0,-0.4956843256439394,-0.4956843256439394
"('Malaysia', 'Singapore')",0.9377632681842089,0.4334969823525424,1965.0,-0.3399435864508475,-0.3399435864508475
"('Malaysia', 'Thailand')",0.9418806763308486,0.3383367133333333,1957.0,-0.24142850666666665,-0.24142850666666665
"('Saudi Arabia', 'Singapore')",0.9188024342260643,0.414520261420339,1965.0,-0.3780061302220339,-0.3780061302220339
"('Saudi Arabia', 'Thailand')",0.8693761277876265,0.6202950741447368,1947.0,-0.2898273641118421,-0.2898273641118421
"('Singapore', 'Thailand')",0.9462583504245327,0.22107447387796608,1965.0,-0.17987584119661018,-0.17987584119661018
